"id";"id_bidang";"id_kategori";"kode";"nama";"skor";"created_at";"updated_at";"created_by";"updated_by"
93;4;3;"4C2";"Wakil Ketua";25.0;"2024-12-07 07:21:56";"2024-12-07 07:21:56";4;0
94;4;3;"4C3";"Sekretaris";20.0;"2024-12-07 07:22:28";"2024-12-07 07:22:28";4;0
95;4;3;"4C4";"Bendahara";20.0;"2024-12-07 07:22:48";"2024-12-07 07:22:48";4;0
96;4;3;"4C5";"Satu Tingkat Dibawah Pengurus Harian";10.0;"2024-12-07 07:23:18";"2024-12-07 07:23:18";4;0
97;4;4;"4D1";"Ketua";20.0;"2024-12-07 07:23:44";"2024-12-07 07:23:44";4;0
98;4;4;"4D2";"Wakil Ketua";15.0;"2024-12-07 07:24:09";"2024-12-07 07:24:09";4;0
99;4;4;"4D3";"Sekretaris";10.0;"2024-12-07 07:24:29";"2024-12-07 07:24:29";4;0
100;4;4;"4D4";"Bendahara";10.0;"2024-12-07 07:24:50";"2024-12-07 07:24:50";4;0
101;4;4;"4D5";"Satu Tingkat Dibawah Pengurus Harian";5.0;"2024-12-07 07:25:20";"2024-12-07 07:25:20";4;0
102;4;5;"4E1";"Ketua";10.0;"2024-12-07 07:25:53";"2024-12-07 07:25:53";4;0
103;4;5;"4E2";"Wakil Ketua";8.0;"2024-12-07 07:26:15";"2024-12-07 07:26:15";4;0
104;4;5;"4E3";"Sekretaris";6.0;"2024-12-07 07:26:46";"2024-12-07 07:26:46";4;0
105;4;5;"4E4";"Bendahara";6.0;"2024-12-07 07:27:06";"2024-12-07 07:27:06";4;0
106;4;5;"4E5";"Satu Tingkat Dibawah Pengurus Harian";2.0;"2024-12-07 07:27:32";"2024-12-07 07:27:32";4;0
107;5;1;"5A6";"Penulis Utama/Korespondensi Karya Ilmiah di Jurnal yang Bereputasi dan Diakui";50.0;"2024-12-07 07:53:16";"2024-12-07 07:53:16";4;0
108;5;1;"5A7";"Penulis Kedua (Bukan Korespondensi) dst Karya Ilmiah di Jurnal Bereputasi dan Diakui";30.0;"2024-12-07 07:54:31";"2024-12-07 07:54:31";4;0
109;5;3;"5C1";"Paten";50.0;"2024-12-07 07:55:05";"2024-12-07 07:55:05";4;0
110;5;3;"5C2";"Paten Sederhana";30.0;"2024-12-07 07:55:30";"2024-12-07 07:55:30";4;0
